"Stars","Title","Entry ID","Relative Potential Energy-MMFF94","H2a-H3","H2b-H3","H3-H4","H4-H5","H5-H6","H6-H7","H7-H8a","H7-H8b","H8b-H9","H8a-H9","H9-H10","H10-H11","H11-H12","H12-H13a","H12-H13b","H13a-H14","H13b-H14","H14-H15","H15-H16a","H15-H16b","H16a-H17","H16b-H17","H18-H19","H19-H20a","H19-H20b","H22-H23a","H22-H23b","H5'-H6'b","H5'-H6'a","Distance H2'-H24a"
,"Belizentrin_10.000_1rmsd_99","146",18.596,10.432,1.160,8.600,7.433,7.415,5.839,2.426,11.481,11.115,3.699,-0.293,4.205,-0.225,4.139,11.362,5.723,11.385,9.160,10.564,1.129,2.438,13.930,2.457,1.458,11.176,7.877,10.252,13.362,2.360,2.556
,"Belizentrin_100.000_0.5rmsd_54","230",12.916,3.379,11.297,8.523,7.472,7.643,5.741,2.819,11.436,9.739,5.880,-0.078,6.393,0.354,3.495,11.478,6.172,11.142,8.800,1.686,4.278,13.809,3.400,2.975,1.443,11.140,7.560,10.712,13.280,1.828,3.222
,"Belizentrin_100.000_0.5rmsd_100","276",16.531,9.900,0.994,8.419,7.288,7.743,5.494,1.381,11.116,11.338,2.877,-0.338,-0.424,-0.215,4.036,11.396,5.628,11.459,9.415,1.437,4.737,8.082,10.696,11.454,1.744,11.354,8.350,9.713,13.363,2.379,2.692
,"Belizentrin_100.000_0.5rmsd_133","309",18.435,3.205,11.332,8.547,7.440,7.533,5.728,2.464,11.479,10.283,5.202,-0.048,6.323,0.482,3.418,11.481,6.397,10.993,8.485,1.821,4.063,13.932,2.528,4.919,1.259,10.931,8.548,9.604,13.216,1.646,3.005
,"Belizentrin_100.000_0.5rmsd_134","310",18.454,10.695,1.289,8.498,7.222,7.509,5.601,2.052,11.452,11.283,3.159,-0.366,-0.293,-0.228,4.799,11.114,5.605,11.432,9.614,1.495,4.639,6.595,12.053,11.290,1.362,11.097,8.265,9.826,13.364,2.438,2.615
,"Belizentrin_100.000_1rmsd_275","617",16.141,10.612,1.285,8.410,7.229,7.591,5.603,2.237,11.479,10.082,5.395,-0.068,-0.288,4.259,4.519,11.287,5.630,11.381,9.485,10.944,1.387,4.909,13.260,11.007,1.169,10.859,7.860,10.281,13.360,2.597,2.540
,"Belizentrin_100.000_1rmsd_328","670",16.977,10.287,1.114,8.419,7.344,7.714,5.528,1.760,11.377,10.715,4.458,0.023,-0.367,4.467,4.045,11.421,5.640,11.401,9.305,10.911,1.363,13.680,3.948,3.432,1.309,11.045,7.950,10.188,13.360,2.600,2.572
,"Belizentrin_100.000_1rmsd_333","675",17.074,9.910,0.998,8.425,7.288,7.734,5.507,1.389,11.131,11.342,2.855,-0.337,-0.419,-0.217,4.028,11.397,5.634,11.454,9.418,1.472,4.677,8.076,10.700,11.448,1.730,11.347,8.359,9.704,13.363,2.365,2.692
,"Belizentrin_100.000_1rmsd_339","681",17.187,10.365,1.108,8.432,7.108,7.529,5.542,2.416,11.480,10.647,4.568,-0.143,-0.472,5.674,5.121,10.993,5.670,11.348,9.611,10.742,1.280,13.896,3.144,3.018,0.895,9.987,6.295,11.734,13.159,3.617,3.262
,"Belizentrin_100.000_1rmsd_367","709",17.429,11.253,1.973,8.283,7.030,7.685,5.427,2.280,11.481,9.301,6.223,0.486,6.496,-0.144,4.655,11.182,5.757,11.331,9.615,2.100,3.856,3.847,13.631,11.028,1.376,11.117,7.962,10.170,13.364,2.453,2.569
,"Belizentrin_100.000_1rmsd_388","730",17.610,10.192,1.046,8.484,7.337,7.665,5.534,2.619,11.465,10.549,4.752,-0.212,-0.485,5.794,4.551,11.261,5.599,11.417,9.510,10.164,1.000,13.605,4.214,3.284,1.395,11.121,8.060,10.048,13.364,2.494,2.565
,"Belizentrin_100.000_1rmsd_393","735",17.726,9.584,0.912,8.514,7.268,7.536,5.635,2.177,11.470,11.118,3.700,-0.359,-0.345,-0.227,3.948,11.416,5.599,11.483,9.383,1.371,4.874,9.149,9.452,11.456,1.614,11.295,8.338,9.749,13.364,2.476,2.704
,"Belizentrin_100.000_1rmsd_416","758",18.040,8.353,0.953,8.579,7.374,7.406,5.827,2.181,11.472,10.822,4.311,-0.259,-0.471,-0.205,3.910,11.423,5.731,11.410,9.327,1.724,4.277,9.877,8.509,11.477,1.834,11.390,8.453,9.590,13.362,2.366,2.690
,"Belizentrin_100.000_1rmsd_432","774",18.220,9.094,0.887,8.480,7.309,7.576,5.652,1.691,11.346,11.036,3.845,-0.214,-0.475,-0.181,3.781,11.447,5.788,11.383,9.244,1.673,4.343,9.119,9.540,11.481,1.713,11.337,8.218,9.855,13.364,2.428,2.633
,"Belizentrin_100.000_1rmsd_519","861",19.095,10.761,1.340,8.405,6.966,7.475,5.561,2.422,11.480,10.432,4.903,-0.137,-0.471,5.533,6.059,10.332,5.991,11.102,9.660,10.931,1.414,5.020,13.235,10.932,0.887,9.837,6.221,11.797,13.130,3.698,3.251
,"Belizentrin_100.000_1rmsd_557","899",19.515,10.442,1.165,8.598,7.424,7.410,5.841,2.414,11.481,11.123,3.679,-0.290,4.231,-0.225,4.143,11.361,5.724,11.384,9.160,10.577,1.135,2.438,13.930,2.444,1.459,11.176,7.882,10.247,13.362,2.354,2.555
,"Belizentrin_100.000_1rmsd_584","926",19.755,10.726,1.313,8.501,7.217,7.497,5.609,2.074,11.458,11.280,3.177,-0.364,-0.283,-0.228,4.807,11.109,5.613,11.426,9.617,1.542,4.563,6.601,12.046,11.286,1.354,11.089,8.254,9.839,13.363,2.414,2.608
,"Belizentrin_100.000_1rmsd_641","983",20.398,10.069,1.007,8.510,7.258,7.538,5.648,2.162,11.469,10.984,4.004,-0.308,-0.434,-0.219,4.027,11.398,5.626,11.461,9.410,1.405,4.802,8.044,10.722,11.366,1.891,11.409,8.975,8.959,13.357,2.286,3.178
,"Belizentrin_100.000_1rmsd_647","989",20.489,10.229,1.062,8.469,7.147,7.485,5.633,2.682,11.458,10.358,5.049,-0.204,-0.424,5.534,4.909,11.107,5.637,11.377,9.571,9.984,0.947,2.956,13.907,2.379,1.341,11.078,7.772,10.375,13.361,2.331,2.518
,"Belizentrin_100.000_1rmsd_652","994",20.548,9.218,0.887,8.577,7.422,7.375,5.839,2.372,11.481,10.480,4.874,-0.117,-0.426,4.933,4.154,11.395,5.647,11.393,9.349,10.535,1.114,13.805,3.508,2.958,1.169,10.850,7.905,10.229,13.353,2.721,2.492
,"Belizentrin_100.000_1rmsd_668","1010",20.903,10.791,1.405,8.387,7.210,7.648,5.490,1.826,11.406,10.729,4.406,-0.093,-0.478,5.302,4.940,11.094,5.723,11.311,9.565,11.087,1.564,13.931,2.542,3.192,0.887,9.729,6.383,11.666,13.231,3.362,3.391
